id,nome
01,atenolol
02,besilato de anlodipino
03,besilato de anlodipino
04,captopril
05,captopril
06,captopril
07,espironolactona
08,espironolactona
09,furosemida 
10,losartana
11,maleato de enalapril
12,succinato de metoprolol
13,succinato de metoprolol
14,atenolol
15,atenolol
16,cloridrato de propranolol
17,cloridrato de propranolol
18,cloridrato de propranolol
19,espironolactona
20,furosemida
21,furosemida
22,hidroclorotiazida
23,hidroclorotiazida
24,hidroclorotiazida
25,losartana
26,losartana
27,maleato de enalapril
28,maleato de enalapril
29,succinato de metoprolol
30,besilato de anlodipino